Intention,Query_Sentence_Pattern_Cleaned,Query_Sentence_Pattern
อาจารย์ผู้สอน_Micro,อาจารย์ ท่าน สอน วิชา ไมโคร เหรอ,อาจารย์ท่านไหน สอน วิชาไมโคร เหรอครับ
อาจารย์ผู้สอน_Algro,อาจารย์ ท่าน สอน วิชา อัลกอ เหรอ,อาจารย์ท่านไหน สอน วิชาอัลกอ เหรอครับ
อาจารย์ผู้สอน_Server_Client,อาจารย์ ท่าน สอน วิชา เซิร์ฟเวอร์ - ไคล แอนด์ เหรอ,อาจารย์ท่านไหน สอน วิชาเซิร์ฟเวอร์-ไคลแอนด์ เหรอครับ
อาจารย์ผู้สอน_Security,อาจารย์ ท่าน สอน วิชา ซี เคียว เหรอ,อาจารย์ท่านไหน สอน วิชาซีเคียว เหรอครับ
ตอบตกลง,ใช่,ใช่
สอบถามเกณฑ์ภาควิชา,เกณฑ์ ภาควิชา,เกณฑ์ภาควิชา
สอบถามเกณฑ์ภาควิชา,เกณฑ์ การฝึกงาน,เกณฑ์การฝึกงานเป็นอย่างไรครับ
สอบถามเกณฑ์ภาควิชา,เกณฑ์ การฝึกงาน,เกณฑ์การฝึกงานครับ
สอบถามเกณฑ์ภาควิชา,เกณฑ์ ภาควิชา อย่างไรบ้าง,เกณฑ์ของภาควิชาเป็นอย่างไรบ้างครับ
สอบถามหน่วยกิตขั้นต่ำ,กี่ หน่วยกิต,ต้องผ่านกี่หน่วยกิตครับ
สอบถามหน่วยกิตขั้นต่ำ,หน่วยกิต สะสม ขั้นต่ำ การฝึกงาน,หน่วยกิตเก็บสะสมขั้นต่ำของการฝึกงานเป็นอย่างไรครับ
สอบถามหน่วยกิตขั้นต่ำ,หน่วยกิต ขั้นต่ำ,แล้วหน่วยกิตขั้นต่ำละครับ
สอบถามความสามารถบอท,สอบถาม เรื่อง,สอบถามเรื่องอะไรได้บ้างครับ
สอบถามความสามารถบอท,สอบถาม,สอบถามอะไรได้บ้าง
สอบถามความสามารถบอท,ถาม,ถามอะไรได้บ้าง
สอบถามความสามารถบอท,สอบถาม,สอบถามไรได้บ้างครับ
เทอมที่สามารถลงได้,เทอม,ลงเทอมไหนได้บ้างครับ
เทอมที่สามารถลงได้,การฝึกงาน เทอม,การฝึกงาน ลงเทอมไหนได้บ้างครับ
พูดลงเทอมที่_1,เทอม 1 ไหม,ลงเทอม 1 ได้ไหมครับ
พูดลงเทอมที่_1,เทอม 1,แล้วเทอม 1 ละ
พูดลงเทอมที่_2,เทอม 2 ไหม,ลงเทอม 2 ได้ไหมครับ
พูดลงเทอมที่_2,เทอม 2,แล้วเทอม 2 ละ
การฝึกงาน_การบังคับ,การฝึกงาน บังคับ ไหม,การฝึกงานบังคับไหม
การฝึกงาน_ไม่ต้องการลงทะเบียน,ลงทะเบียน ฝึกงาน เรียนจบ ไหม,ไม่ลงทะเบียนฝึกงานเรียนจบไหม
การฝึกงาน_เกณฑ์ไม่ถึง,เกณฑ์ ลงทะเบียน ฝึกงาน ไหม,ถ้าเกณฑ์ไม่ถึงลงทะเบียนฝึกงานได้ไหม
การฝึกงาน_เอกสาร,เอกสาร การฝึกงาน,เอกสารการฝึกงาน มีอะไรบ้างครับ
การฝึกงาน_สถานที่,ฝึกงาน ที่ไหนบ้าง,ฝึกงานได้ที่ไหนบ้างครับ
การฝึกงาน_สถานที่,ฝึก ที่ไหนได้,แล้วฝึกที่ไหนได้บ้างครับ
ถามเอกสาร,เอกสาร,แล้วมีเอกสารอะไรบ้างครับ
พูดลงเทอมที่_3,ลงทะเบียน เทอม ซัมเมอร์ ไหม,ลงทะเบียนเทอมซัมเมอร์ได้ไหมครับ
การฝึกงาน_สถานที่_ได้ทุกที่,ฝึกงาน เหรอ,ฝึกงานได้ทุกที่เลยเหรอครับ
การฝึกงาน_สถานที่_ได้ทุกที่,ฝึกงาน,สามารถฝึกงานได้ทุกที่เลยใช่ไหมครับ
การฝึกงาน_สถานที่ติดต่อ,ฝึกงาน ติดต่อ,ฝึกงานต้องไปติดต่อที่ไหนครับ
ถามเวลา,เวลา,เวลาอะไรครับ
การฝึกงาน_เจ้าหน้าที่รับผิดชอบ,เจ้าหน้าที่ รับผิดชอบ เรื่อง ฝึกงาน,เจ้าหน้าที่ที่รับผิดชอบเรื่องฝึกงานคือใครครับ
การฝึกงาน_เจ้าหน้าที่รับผิดชอบ_ไม่อยู่,เจ้าหน้าที่ รับผิดชอบ ไม่อยู่ ติดต่อ,เจ้าหน้าที่ที่รับผิดชอบไม่อยู่ สามารถติดต่อได้ทางไหน
การฝึกงาน_หน้าเว็บ,หน้า เว็บ รายละเอียด การฝึกงาน,หน้าเว็บรายละเอียดของการฝึกงาน
ฝึกงาน_ลงเทอม_1,การฝึกงาน ลงทะเบียน เทอม 1 ไหม,การฝึกงานลงทะเบียนเทอม 1 ได้ไหมครับ
ฝึกงาน_ลงเทอม_1,ฝึกงาน เทอม 1 ไหม,ฝึกงานลงเทอม 1 ได้ไหมครับ
ฝึกงาน_ลงเทอม_2,การฝึกงาน ลงทะเบียน เทอม 2 ไหม,การฝึกงานลงทะเบียนเทอม 2 ได้ไหมครับ
ฝึกงาน_ลงเทอม_2,ฝึกงาน เทอม 2 ไหม,ฝึกงานลงเทอม 2 ได้ไหมครับ
ฝึกงาน_ลงเทอม_3,การฝึกงาน ลงทะเบียน เทอม 3 ไหม,การฝึกงานลงทะเบียนเทอม 3 ได้ไหมครับ
ฝึกงาน_ลงเทอม_3,ฝึกงาน เทอม ซัมเมอร์ ไหม,ฝึกงานลงเทอมซัมเมอร์ได้ไหมครับ
